text,intent
and how do you propose we do that,general_question
i have sent several private messages and no one is responding as usual,general_question
i did,general_question
is the worst customer service,complaint
you gonna magically change your connectivity for me and my whole family,technical_support
since i signed up with yousince day 1,general_question
yall lie about your great connection 5 bars lte still wont load something smh,complaint
whenever i contact customer support they tell me i have shortcode enabled on my account but i have never in the 4 years ive tried,account_problem
would you like me to email you a copy of one since spectrum is not updating your training,general_question
i received this from your corporate office would you like a copy,general_question
the correct way to do it is via an ocs account takeover and email consent form it does not need to be done in a local office,account_problem
that is incorrect information i have the form in front of me that is faxed over maybe you need to maintain up to date information,general_question
actually thats a broken link you sent me and incorrect information,technical_support
yo your customer service reps are super nice but imma start trippin if yall dont get my service going,technical_support
my picture on pretty much every day why should i pay 171 per month,payment_issue
i finally got someone that helped me thanks,positive_feedback
somebody from please help me im having the worst luck with your customer service,complaint
my friend is without internet we need to play videogames together please our skills diminish every moment without internetz,technical_support
what else can i provide they refuse to help me because they cannot validate the account,account_problem
how i have my phone number and email thats it how did i get equipment and service im literally trying to pay and nobody can find me,payment_issue
md and this was sent to the wrong address,general_question
hello duke do you have a copy of your bill what state are your services located in nhp,payment_issue
nobody can find my account or number i walked out of a store with this ive explained that they can find my acct via my devices serial,account_problem
are you referring to wireless or residential service jay,general_question
tried to pay a bill for 60 days no service rude cs and several transfers look up my equipment and give me an acct,payment_issue
dont know router is downstairs but its just the wifi nothing connected to ethernet,technical_support
just randomly boots me offline there it goes again,general_question
yep,general_question
cuts out every 20 minutes this is ridiculous,complaint
is the worst isp ive ever had,complaint
gt all of verizon is downlt when can we expect a fix,general_question
fix your app it wont even open,technical_support
becky is very nice,general_question
i dont fit in my veggie burrito costume,general_question
messed up today and didnt give me my 3 burrito although i was dressed up,general_question
hey wanna come to mammoth ill at least eat there once a week i promise,general_question
i had excellent service tonight too plenty of people on the line went very fast everyone was kind,general_question
when youre the only one in costume,general_question
no diet coke and a literal bone this boorito was extra spooky,general_question
if you get queso or quac on youre bowl its extra,general_question
happy halloween since im too old to trick or treat i now look forward to 3 booritos at i got mine earlier did you,complaint
thank you for resolving my issue so quickly yall are the best,technical_support
so frustrated with ordered dinner on saturday using their app order was wrong and they charged my credit card twice,complaint
btw giving out 3 burritos if you dress up for halloween call your chipotle to make sure theyre doing it select ones,general_question
tried didnt work how rude,general_question
can i dress up as myself and still qualify for a boorito,general_question
every year my trick or treating routine is walking to chipotle spending 3 dollars and walking back home,general_question
this is nasty a used napkin in someones food,general_question
3 burritos and im nowhere near a,general_question
also i got the onesie at target so cozy,general_question
thanks becky just feeling sorry for myself because my fianc is driving from dc to mississippi tonight,positive_feedback
considering walking to in my llama onesie alone happy halloween,technical_support
name a better halloween duo,general_question
can i get help already,general_question
so whats the november ps plus free game,general_question
it was when i would go to download it i just waited a few hours till after i bought it and it downloaded now,general_question
i bought lego star wars in the playstation store but it wont let me download it because the data is corrupted,general_question
can i block a community from sending me invites to something i dont want to join,general_question
we had to have a count colin xx,general_question
ere never mind avocado hows about ave a word is it really necessary the pair of em were suffocating,general_question
raw meat its does not say unwrapped raw meat sainsburys dont charge nor do waitrose so y do you,technical_support
i check with the gov office and legal they stated you are not right but its funny how the other stores dont but you do no wonder lidl and the rest are beating you,general_question
ou must charge at least 5p a bag including vat for carrier bags that are all of the following unused its new and hasnt already been used for sold goods to be taken away or delivered plastic and 70 microns thick or less it has handles an opening and isnt sealed,delivery_issue
arent require charge 4 a bag paper bags shops in airports or on board trains aeroplanes or ships bags which only contain certain items such as unwrapped food raw meat and fish where there is a food safety risk prescription medicines uncovered blades seeds bulbs amp s,technical_support
y do they charge you for a meat bag at colliers woods branch if you buy meat you r required to supply customers a free bag poor service,complaint
excellent halloweening,general_question
brilliant thank you,positive_feedback
hi having trouble making purchases on xbox one store for fifa points can you help,general_question
i need assistance recovering 2 hotmail accounts i have filled the recovery forms but am told am not providing enough info,account_problem
umm someone is streaming wwii with 500 viewers,general_question
im trying to buy the digital deluxe edition on the ps store but i keep receiving an error message,technical_support
thanks,positive_feedback
can you still pre oder ww2 on the playstation store,general_question
are yous going to update cod zombies on ios for ios 11,technical_support
why was there a half gig update for world at war,technical_support
tried that there was people so i came back,general_question
so when i go get the game on friday my 2xp code will be on the receipt,general_question
yes the beta code,general_question
yes i have so my code is on their,general_question
i pre ordered my game at game stop,general_question
for double xp,general_question
i pre ordered wwii but how do i get the code,general_question
sethtubbs and i am on ps4,general_question
i got all of my stats reset on mwr and i dont know why please help,general_question
will non season pass holders get the bobus man carentan at any point or not at all,general_question
didnt work tried it on another computer fresh install same thing,general_question
sure thing,general_question
the ctrlaltshift on load method didnt work 22,general_question
pretty much explained my issue in the quoted tweet dragging an image onto a canvas no longer center snaps it,technical_support
any help here,general_question
nope still down,general_question
yes ive done that multiple times its happened on previous versions as well,technical_support
ok,general_question
sowhen are they available,general_question
ok its been very frustrating i have multiple jobs that i need finished and your application isnt helping,technical_support
no its still broken i deleted it and will probably be getting rid of my membership and return when its working properly thanks,positive_feedback
ill just wait for the next big update ive wasted my time and patience with adobe products,technical_support
yea ive done everything you guys told me to do i know its not my mac either as i have the retina imac which is fairly new,general_question
you guys have been saying that for weeks now your product went from being great to now unable to work and terrible very disappointed,complaint
whats going on with your app its totally stuck here for 1 hour and prior to updating froze and didnt work since updating,technical_support
amazonfiretvstick,general_question
can i change me sons xbox live account to his hotmail account currently linked to my hotmail account,account_problem
did u release an update today for lightroom classic cc,technical_support
please tell me why my has expired but im still being charged,payment_issue
