text,intent
@sprintcare and how do you propose we do that,general_question
@sprintcare I have sent several private messages and no one is responding as usual,general_question
@sprintcare I did.,general_question
@sprintcare is the worst customer service,complaint
@sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯,technical_support
@sprintcare Since I signed up with you....Since day 1,general_question
"@115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh.",complaint
"@115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK",account_problem
@Ask_Spectrum Would you like me to email you a copy of one since Spectrum is not updating your training?,general_question
@Ask_Spectrum I received this from your corporate office would you like a copy?,general_question
@Ask_Spectrum The correct way to do it is via an OCS Account Takeover and email Consent Form it does not need to be done in a local office,account_problem
@Ask_Spectrum That is INCORRECT information I have the form in front of me that is faxed over-maybe you need to maintain up to date information,general_question
actually that's a broken link you sent me and incorrect information https://t.co/V4yfrHR8VI,technical_support
"Yo @Ask_Spectrum, your customer service reps are super nice— but imma start trippin if y’all don’t get my service going!",technical_support
My picture on @Ask_Spectrum pretty much every day. Why should I pay $171 per month? https://t.co/U6ptkQa5Ik,payment_issue
"@VerizonSupport I finally got someone that helped me, thanks!",positive_feedback
somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service,complaint
@VerizonSupport My friend is without internet we need to play videogames together please our skills diminish every moment without internetz,technical_support
@VerizonSupport What else can I provide? They refuse to help me because they cannot validate the account...,account_problem
"@VerizonSupport How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me?",payment_issue
@115722 MD. And this was sent to the wrong address https://t.co/dMQ1WZXJOk,general_question
"@115721 Hello Duke, Do you have a copy of your bill? What state are your services located in?
^NHP",payment_issue
@115722 Nobody can find my account or number. I walked out of a store with this. I've explained that they can find my acct via my devices serial #..,account_problem
"@115721 Are you referring to wireless or residential service?
^JAY",general_question
"@115722 tried to pay a bill for 60 days. No service, rude CS, and several transfers. Look up my equipment # and give me an acct #!",payment_issue
"@VerizonSupport Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet",technical_support
@VerizonSupport Just randomly boots me offline there it goes again,general_question
@VerizonSupport Yep,general_question
@VerizonSupport Cuts out every 20 minutes this is ridiculous,complaint
@115722 is the worst ISP I’ve ever had,complaint
".@VerizonSupport @115725 @115726                                                 &gt;All of VERIZON IS DOWN&lt;
When can we expect a fix ?",general_question
@115725 fix your app it won't even open,technical_support
@ChipotleTweets @ChipotleTweets Becky is very nice,general_question
"@ChipotleTweets @28 
I don't fit in my Veggie Burrito costume #Halloween https://t.co/7tJDVpzLWn",general_question
@ChipotleTweets messed up today and didn’t give me my $3 burrito although I was dressed up 😭,general_question
hey @ChipotleTweets wanna come to Mammoth. I'll at least eat there once a week i promise,general_question
"@ChipotleTweets I had excellent service tonight too! Plenty of people on the line, went very fast, everyone was kind!",general_question
When you're the only one in costume #boorito @ChipotleTweets,general_question
@ChipotleTweets no Diet Coke and a literal bone this Boorito was extra spooky! https://t.co/C4oCCtdUct,general_question
"@ChipotleTweets If you get queso or quac on you're bowl, its extra?",general_question
"Happy Halloween! Since I'm too old to trick or treat I now look forward to $3 booritos at @ChipotleTweets 👻 I got mine earlier, did you?",complaint
@ChipotleTweets Thank you @ChipotleTweets for resolving my issue so quickly!! Y’all are the best ☺️ #fanforlife,technical_support
So frustrated with @ChipotleTweets 😡 Ordered dinner on Saturday using their app. Order was wrong AND they charged my credit card twice,complaint
"Btw @ChipotleTweets giving out $3 burritos if you dress up for Halloween 🎃 Call your Chipotle to make sure, they’re doing it @ select ones",general_question
"@ChipotleTweets Tried, didn't work. How rude :/",general_question
@ChipotleTweets can I dress up as myself and still qualify for a BOORITO?,general_question
"Every year, my trick-or-treating routine is walking to Chipotle, spending 3 dollars and walking back home. @ChipotleTweets",general_question
@ChipotleTweets this is nasty. A used napkin in someone's food https://t.co/EkWiD9vhnr,general_question
$3 burritos and I’m nowhere near a @ChipotleTweets 🤦🏾‍♂️,general_question
@ChipotleTweets Also I got the onesie at target. So cozy,general_question
@ChipotleTweets Thanks Becky! Just feeling sorry for myself because my fiancé is driving from D.C. To Mississippi tonight,positive_feedback
Considering walking to @ChipotleTweets in my llama onesie alone happy Halloween 😭,technical_support
@ChipotleTweets name a better halloween duo #speedwaybrick #UTtranscript https://t.co/5ShDRMlC1T,general_question
@AskPlayStation @115743 Can I get help already??,general_question
"@AskPlayStation So, what's the november ps plus free game?",general_question
@AskPlayStation It was when I would go to download it. I just waited a few hours till after I bought it and it downloaded now.,general_question
@AskPlayStation I bought Lego Star Wars in the PlayStation store but it won't let me download it because the data is corrupted..,general_question
@AskPlayStation can i block a community from sending me invites to something i dont want to join,general_question
We had to have a Count Colin 💛 @marksandspencer xx... https://t.co/HVWkevFsKB,general_question
"‘Ere @marksandspencer, never mind avocado 🥑 - How’s about ‘ave a word?
Is it really necessary? 

The pair of ‘em were suffocating. https://t.co/ff2bmOVido",general_question
@marksandspencer Raw meat!!!! It’s does not say unwrapped raw meat!!! Sainsbury’s don’t charge nor do Waitrose so y do you?!,technical_support
@marksandspencer I check with the Gov office and legal. They stated you are not right. But it’s funny how the other stores don’t but you do. No wonder Lidl and the rest are beating you.,general_question
"@marksandspencer ou must charge at least 5p a bag (including VAT) for carrier bags that are all of the following:

unused - it’s new and hasn’t already been used for sold goods to be taken away or delivered
plastic and 70 microns thick or less
it has handles, an opening and isn’t sealed",delivery_issue
"@marksandspencer aren’t require charge 4 a bag:
paper bags
shops in airports, or on board trains, aeroplanes or ships
bags which only contain certain items, such as unwrapped food, raw meat and fish where there is a food safety risk, prescription medicines, uncovered blades, seeds, bulbs &amp; 🌷s",technical_support
@marksandspencer y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service.,complaint
Excellent Halloweening @marksandspencer 👌🏼 #countcolin #halloween #food https://t.co/lq1cSooHdj,general_question
"@MicrosoftHelps @XboxSupport Brilliant, thank you!",positive_feedback
"@MicrosoftHelps hi, having trouble making purchases on Xbox one store for fifa points, can you help?",general_question
@MicrosoftHelps I need assistance recovering 2 hotmail accounts. I have  filled the recovery forms but am told am not providing enough info,account_problem
